year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_VI,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,VNM,Viet Nam,VN,Ninh Thuan,Ninh Thuận,VN705,297276,301639,598915,19970,24496,26310,24932,18980,16311,23707,22378,21459,19919,20083,17436,13391,10305,7266,4228,6105,21739,26474,28033,26300,21599,19724,25173,23221,21365,20571,20122,16938,11840,7537,5098,2730,3175,41709,50970,54343,51232,40579,36035,48880,45599,42824,40490,40205,34374,25231,17842,12364,6958,9280
2024,VNM,Viet Nam,VN,Phu Tho,Phú Thọ,VN217,759265,756904,1516169,53121,61326,65933,51185,40290,38106,56371,60501,55754,47605,44252,44089,45425,35130,21904,13608,24665,59782,69010,73550,55361,43466,40652,59212,62562,56386,47240,42380,40696,38989,29228,16886,9214,12290,112903,130336,139483,106546,83756,78758,115583,123063,112140,94845,86632,84785,84414,64358,38790,22822,36955
2024,VNM,Viet Nam,VN,Phu Yen,Phú Yên,VN509,432182,439455,871637,26288,32089,35621,33729,25711,18491,30458,32480,32841,32237,33545,27925,20613,16520,12530,7908,13196,28617,34083,37705,35551,30355,24030,32833,34350,33103,34193,34164,27691,18076,12242,9257,5571,7634,54905,66172,73326,69280,56066,42521,63291,66830,65944,66430,67709,55616,38689,28762,21787,13479,20830
2024,VNM,Viet Nam,VN,Quang Binh,Quảng Bình,VN407,451687,458576,910263,32433,40959,39048,32798,26669,26128,34834,31184,29140,29639,28529,24077,24164,19111,12058,7318,13598,35318,43697,42072,34755,29884,30247,38847,34237,29882,30118,27634,22047,20210,15803,9144,5605,9076,67751,84656,81120,67553,56553,56375,73681,65421,59022,59757,56163,46124,44374,34914,21202,12923,22674
2024,VNM,Viet Nam,VN,Quang Nam,Quảng Nam,VN503,761034,748202,1509236,51689,59079,60042,52642,42903,43773,58726,52179,46723,45395,51336,54157,36027,36704,24126,13381,32152,56273,63609,64804,56812,48387,49215,63180,54980,48749,46191,49025,49543,29722,27883,17063,8060,14706,107962,122688,124846,109454,91290,92988,121906,107159,95472,91586,100361,103700,65749,64587,41189,21441,46858
2024,VNM,Viet Nam,VN,Quang Ngai,Quảng Ngãi,VN505,609435,608424,1217859,37803,45765,47880,45215,33681,32489,46288,43529,41715,39571,40970,40428,29636,26166,18494,13874,25931,41140,48836,51160,48247,37515,37636,50426,46794,43502,41635,40948,38290,25177,20612,13569,8724,14213,78943,94601,99040,93462,71196,70125,96714,90323,85217,81206,81918,78718,54813,46778,32063,22598,40144
2024,VNM,Viet Nam,VN,Quang Ninh,Quảng Ninh,VN225,672302,695913,1368215,45968,53199,58598,46414,37440,38343,53168,55973,51235,43589,41572,35942,36937,27805,17800,11393,16926,52254,58166,63763,49912,40333,42113,57156,60273,55695,44796,41632,36377,35764,25429,13556,7981,10713,98222,111365,122361,96326,77773,80456,110324,116246,106930,88385,83204,72319,72701,53234,31356,19374,27639
2024,VNM,Viet Nam,VN,Quang Tri,Quảng Trị,VN409,314444,312849,627293,20650,27994,28189,26102,18233,13961,21067,20888,20381,21529,20920,19020,16287,12981,8210,6163,11869,22367,29814,30287,27348,20502,17198,22590,20869,19974,20947,20384,18005,14238,11340,6539,3759,6688,43017,57808,58476,53450,38735,31159,43657,41757,40355,42476,41304,37025,30525,24321,14749,9922,18557
2024,VNM,Viet Nam,VN,Soc Trang,Sóc Trăng,VN819,588251,585404,1173655,30551,37313,50554,47154,34718,24742,37199,44803,45420,43652,39528,38768,34248,31144,22699,11069,14689,32508,39444,53265,50425,39055,28294,39377,46956,49263,45023,39744,35559,29378,23421,17230,7988,8474,63059,76757,103819,97579,73773,53037,76576,91759,94683,88675,79272,74327,63626,54565,39928,19057,23163
2024,VNM,Viet Nam,VN,Son La,Sơn La,VN303,653063,674352,1327415,54229,61464,68453,58790,44451,43177,55506,55712,45030,37607,32623,29291,25678,15592,8765,5451,11244,60791,69615,72995,62066,49493,47221,58834,57713,45711,36808,31637,27171,23317,13755,6915,3776,6534,115020,131079,141448,120856,93944,90398,114340,113425,90741,74415,64260,56462,48995,29347,15680,9227,17778
